source_id,group,author,title,published,modified,url,type,evidence_strength,access_date,access_note,lesson
R11,Context and agent behavior,Chip Huyen,Agents,2025-01-07,,https://huyenchip.com/2025/01/07/agents.html,Book adaptation,Literature and conceptual synthesis,2026-09-14,Original publisher text and byline/date reviewed.,"Distinguish goal achievement, planning, tool failures, constraints, and efficiency. A valid call need not accomplish the task; the evolving taxonomy is guidance rather than an exhaustive specification."
R12,Context and agent behavior,Jason Liu,There Are Only 6 RAG Evals,2025-05-19,,https://jxnl.co/writing/2025/05/19/there-are-only-6-rag-evals/,Blog,Conceptual framework,2026-09-14,Original publisher text and byline/date reviewed.,"Diagnose question, context, and answer relationships instead of one quality score. The six-part taxonomy is a useful checklist, not a completeness theorem covering freshness, permissions, and cost."
R13,Context and agent behavior,Harrison Chase,Agent observability powers agent evaluation,2026-01-27,,https://www.langchain.com/blog/agent-observability-powers-agent-evaluation,Vendor blog,Architecture advice and anecdotes,2026-09-14,Original publisher text and byline/date reviewed.,"Retain calls, executions, conversations, and state changes to trace delayed memory failures. Recorded behavior supports diagnosis; it does not reveal a model's true internal reasoning or prove causality."
R14,Context and agent behavior,Vivek Trivedy; Mason Daugherty; Eugene Yurtsev; Harrison Chase,How we build evals for Deep Agents,2026-03-26,,https://www.langchain.com/blog/how-we-build-evals-for-deep-agents,Team report,Firsthand implementation account,2026-09-14,Original publisher text and byline/date reviewed.,"Group cases by relevant capabilities, distinguish plumbing from model behavior, and inspect correctness before efficiency. The described process is useful prior art, not a controlled comparison of frameworks."
R15,Context and agent behavior,Greg Kamradt,Pressure Testing GPT-4 & Claude 2.1 Long Context,,,https://mail.gregkamradt.com/posts/pressure-testing-gpt-4-claude-2-1-long-context,Newsletter,Small controlled retrieval probe,2026-09-14,Original newsletter text read. Absolute publication date was not exposed; references to 2023 model releases are not a verified publication date.,"Vary context length and evidence position to expose retrieval failures. Historical needle retrieval does not establish current model thresholds, multi-document synthesis, or useful summaries; absolute publication date remains unverified."
R16,Context and agent behavior,Andrew Ng,"Improve Agentic Performance with Evals and Error Analysis, Part 2",2025-10-22,,https://www.deeplearning.ai/the-batch/improve-agentic-performance-with-evals-and-error-analysis-part-2/,Newsletter,Practitioner guidance and worked example,2026-09-14,Indexed first-party article text read; direct fetch returned HTTP 403. Original publisher date and author verified in indexed text.,"Trace weak reports through search and synthesis, while questioning the workflow decomposition itself. Improving isolated stages may not improve the whole; the example supplies guidance, not comparative evidence."
R17,Context and agent behavior,Mikaela Grace; Jeremy Hadfield; Rodrigo Olivares; Jiri De Jonghe,Demystifying evals for AI agents,2026-01-09,,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,Engineering blog,Firsthand practice guide,2026-09-14,Original publisher text and byline/date reviewed.,Write checks for known success criteria and expand coverage as agent failures emerge. Match grading methods to the task; the engineering guidance does not certify a particular external evaluator.
R18,Context and agent behavior,Russell Coleman,Eval awareness in Claude Opus 4.6's BrowseComp performance,2026-03-06,,https://www.anthropic.com/engineering/eval-awareness-browsecomp,Engineering investigation,Observed benchmark trajectories,2026-09-14,Original publisher text and byline/date reviewed.,Record allowed search methods and inspect answer leakage or benchmark identification. The investigated unrestricted behavior was not labeled an alignment failure; findings apply to the reported configuration.
R19,Product evaluation and implementation,Jason Liu,Hard Truths From the AI Trenches,2025-03-05,,https://jxnl.co/writing/2025/03/05/ai-from-the-trenches/,Blog,Consulting anecdotes and opinion,2026-09-14,Original publisher text and byline/date reviewed.,"Measure the information users actually need, then connect technical errors to consequences. Consulting anecdotes motivate prioritization; their outcomes do not establish causal effects or general performance guarantees."
R20,Product evaluation and implementation,Hamel Husain,Your AI Product Needs Evals,2024-03-29,,https://hamel.dev/blog/posts/evals/,Blog,Firsthand case study,2026-09-14,Original article reviewed; /index.html normalized to the canonical directory URL.,"Combine scoped tests, trace review, human/model evaluation, and online experiments at appropriate cadences. Offline success supports iteration but does not establish better user behavior by itself."
R21,Product evaluation and implementation,Andrew Ng,"We Iterate on Models. We Can Iterate on Evals, Too",2025-04-16,,https://www.deeplearning.ai/the-batch/we-iterate-on-models-we-can-iterate-on-evals-too,Newsletter,Practitioner recommendation,2026-09-14,Indexed first-party article text read; direct fetch returned HTTP 403. Original publisher date and author verified in indexed text.,Begin with a small useful evaluation and improve it through human comparisons and iteration. Starter examples support learning; they are not sufficient evidence of broad reliability.
R22,Product evaluation and implementation,Hamel Husain,A Field Guide to Rapidly Improving AI Products,2025-03-24,,https://hamel.dev/blog/posts/field-guide/,Blog,Practitioner process guide,2026-09-14,Original publisher text and byline/date reviewed.,"Organize improvement around real failures, trusted evaluation, and repeatable experiments. The proposed process transfers ideas across teams, but does not prove universal efficacy or prescribe a fixed roadmap."
R23,Product evaluation and implementation,Hamel Husain,“It's Hard to Eval” Is a Product Smell,2026-06-29,,https://hamel.dev/blog/posts/eval-smell/,Blog,Consulting examples and design sketches,2026-09-14,Original publisher text and byline/date reviewed.,"Expose assumptions, provenance, intermediate work, and unresolved items so users can verify results. The sketches propose useful interfaces; their effect on review time has not been demonstrated here."
R24,Product evaluation and implementation,Simon Willison,"smevals — a small eval suite for evaluating models, prompts, and harnesses",2026-07-31,,https://simonwillison.net/2026/Jul/31/smevals/,Creator announcement,Implementation description and demo,2026-09-14,Original publisher text and byline/date reviewed.,"Small file-based suites, separate execution and grading, and browsable reports reduce workflow complexity. An implemented harness establishes functionality; its graders still need task-specific validation."
R25,Product evaluation and implementation,Hamel Husain; Shreya Shankar,Evals Skills for Coding Agents,2026-03-02,2026-08-31,https://hamel.dev/blog/posts/evals-skills/,Creator announcement,Implemented skill workflow description,2026-09-14,Original publisher text and byline/date reviewed.,"Existing skills cover error discovery, judge construction, validation, and RAG evaluation. Treat these as direct packaging prior art; a skill collection alone does not prove improved decisions."
R26,Product evaluation and implementation,Shreya Shankar,"In Defense of AI Evals, for Everyone",2025-09-05,,https://www.sh-reya.com/blog/in-defense-ai-evals/,Blog,Practitioner argument,2026-09-14,Original publisher text and byline/date reviewed.,"Adjust evaluation rigor to expertise, familiarity, and the decision at hand. This is the author's argument; it cannot substitute for inaccessible social posts she discusses or establish consensus."
R27,Interviews and original social posts,Will Brown; swyx,"Multi-Turn RL for Multi-Hour Agents — with Will Brown, Prime Intellect",2025-05-23,,https://www.latent.space/p/willccbb,Podcast/transcript,Speaker-attributed opinion,2026-09-14,"Original interview and speaker-labeled transcript read; opinions are attributed to speakers, not treated as measured results.","Consider evaluator incentives, independent research, and the value of new tasks. The discussion raises governance questions; it is not evidence that any named organization manipulated benchmark rankings."
R28,Interviews and original social posts,Lukas Petersson; Axel Backlund; swyx; Vibhu,Reality: The Final Eval — Lukas Petersson and Axel Backlund of Andon Labs,2026-06-04,,https://www.latent.space/p/andon,Podcast/transcript,Benchmark creators' accounts,2026-09-14,Original interview/transcript read; keep speaker interpretation distinct from benchmark evidence.,Long-running economic environments expose different behaviors from short question-answer tasks. Creators' interpretations are distinct from benchmark data; profit alone cannot certify truthful output or compliance with every constraint.
R29,Interviews and original social posts,Simon Willison,Request for a worked example of iterating prompts with simple evals [descriptive title],2024-11-28,,https://bsky.app/profile/simonwillison.net/post/3lbzccosg5c23,Bluesky post,Practitioner request/opinion,2026-09-14,Original text read through https://web-cdn.bsky.app/profile/simonwillison.net/post/3lbzccosg5c23; timestamp 2024-11-28 14:40:45 UTC. Title is descriptive.,"Show successive outputs, handwritten checks, and prompt revisions in tutorials. This original request identifies a learning need; it provides no measured evidence that a particular evaluation approach works."
R30,Interviews and original social posts,EvalEval Coalition,Launching Every Eval Ever: Toward a Common Language for AI Eval Reporting,2026-02-17,,https://bsky.app/profile/eval-eval.bsky.social/post/3mf2techg422c,Bluesky post,Initiative announcement,2026-09-14,Readable original social post; timestamp 2026-02-17 15:00:23 UTC. Announcement title retained from reviewed notes.,"Investigate shared reporting vocabulary and reusable evaluation records before inventing another format. The announcement establishes the initiative's stated aim, not completeness, broad adoption, or a validated industry standard."
